Adobe After Effects 8.0 Keyframe Data

	Units Per Second	29.97
	Source Width	1920
	Source Height	960
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Motion Trackers	Tracker #1	Track Point #1	Confidence
	Frame	percent	
	1459	95.2156	
	1460	95.6121	
	1461	95.639	
	1462	95.9153	
	1463	96.4764	
	1464	96.9236	
	1465	97.7368	
	1466	98.1171	
	1467	97.7887	
	1468	98.2709	
	1469	98.2355	
	1470	97.9728	
	1471	98.175	
	1472	98.1677	
	1473	98.2502	
	1474	97.894	
	1475	97.8791	
	1476	97.5816	
	1477	97.2081	
	1478	96.9774	
	1479	96.7648	
	1480	96.6779	
	1481	93.5992	
	1482	93.7514	
	1483	92.5967	
	1484	96.5973	
	1485	97.1188	
	1486	96.9776	
	1487	96.719	
	1488	96.339	
	1489	96.1978	
	1490	96.7021	
	1491	97.2969	
	1492	97.0095	
	1493	97.1078	
	1494	97.3238	
	1495	97.6656	
	1496	97.6054	
	1497	97.752	
	1498	97.9904	
	1499	98.2526	
	1500	98.1641	
	1501	98.166	
	1502	98.3921	
	1503	97.8299	
	1504	97.7971	
	1505	96.7366	
	1506	95.2753	
	1507	95.1354	
	1508	95.0622	
	1509	95.1871	
	1510	94.8102	
	1511	93.227	
	1512	94.212	
	1513	95.1018	
	1514	95.5947	
	1515	93.4565	
	1516	94.348	
	1517	94.8704	
	1518	95.0429	
	1519	95.9356	
	1520	97.0395	
	1521	97.3162	
	1522	96.6715	
	1523	95.9035	
	1524	95.8454	
	1525	95.9774	
	1526	96.1998	
	1527	95.7307	
	1528	94.2305	
	1529	93.621	
	1530	94.2292	
	1531	95.1458	
