Adobe After Effects 8.0 Keyframe Data

	Units Per Second	29.97
	Source Width	1920
	Source Height	960
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Motion Trackers	Tracker #2	Track Point #1	Feature Center
	Frame	X pixels	Y pixels
	4803	1104.93	636.594
	4804	1105.41	636.547
	4805	1105.69	636.527
	4806	1106.28	636.48
	4807	1106.58	636.438
	4808	1107.02	636.445
	4809	1107.46	636.426
	4810	1107.78	636.426
	4811	1108.34	636.41
	4812	1108.63	636.395
	4813	1109.21	636.375
	4814	1109.54	636.336
	4815	1109.92	636.332
	4816	1110.38	636.277
	4817	1110.71	636.238
	4818	1111.34	636.16
	4819	1111.58	636.094
	4820	1112.09	636.02
	4821	1112.45	635.926
	4822	1112.8	635.848
	4823	1113.34	635.762
	4824	1113.63	635.688
	4825	1114.22	635.637
	4826	1114.52	635.586
	4827	1114.91	635.539
	4828	1115.38	635.527
	4829	1115.69	635.523
	4830	1116.3	635.473
	4831	1116.57	635.438
	4832	1117.06	635.441
	4833	1117.46	635.418
	4834	1117.8	635.418
	4835	1118.34	635.391
	4836	1118.64	635.367
	4837	1118.59	635.336
	4838	1118.54	635.305
	4839	1118.46	635.277
	4840	1118.37	635.238
	4841	1118.34	635.18
	4842	1118.34	635.113
	4843	1118.25	635.051
	4844	1118.1	634.977
	4845	1117.93	634.895
	4846	1117.8	634.813
	4847	1117.7	634.73
	4848	1117.62	634.664
	4849	1117.57	634.617
	4850	1117.52	634.574
	4851	1117.45	634.547
	4852	1117.38	634.527
	4853	1117.34	634.5
	4854	1117.28	634.469
	4855	1117.17	634.445
	4856	1117.03	634.434
	4857	1116.88	634.422
	4858	1116.77	634.406
	4859	1116.68	634.383
	4860	1116.61	634.359
	4861	1116.56	634.328
	4862	1116.51	634.297
	4863	1116.43	634.27
	4864	1116.35	634.234
	4865	1116.34	634.176
	4866	1116.31	634.105
	4867	1116.2	634.027
	4868	1116.04	633.961
	4869	1115.87	633.879
	4870	1115.76	633.785
	4871	1115.67	633.703
	4872	1115.59	633.645
	4873	1115.54	633.594
	4874	1115.48	633.559
	4875	1115.04	633.531
	4876	1114.51	633.531
	4877	1114.12	633.527
	4878	1113.54	633.527
	4879	1113.19	633.527
	4880	1112.55	633.512
	4881	1112.25	633.508
	4882	1111.59	633.488
	4883	1111.29	633.48
